iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
159,4.078418802,1.723510702,2.078942344,0.071406475,0.016826215,0.182302123
160,4.091470114,1.740089183,2.078819986,0.067978215,0.016824783,0.182321085
161,4.186909114,1.829405563,2.082647861,0.070707897,0.017138986,0.182405269
162,4.072834160,1.722452818,2.076680706,0.069916018,0.016451776,0.182426090
163,4.080144576,1.731355567,2.075492203,0.069106026,0.016656048,0.182435892
164,4.068543456,1.715554050,2.076396673,0.071683224,0.016912377,0.182533990
165,4.073495900,1.721443850,2.077777965,0.069506708,0.016850071,0.182551511
166,4.067259074,1.716131470,2.078214606,0.067700778,0.017272334,0.182899315
167,4.081170620,1.730532324,2.075140952,0.067452455,0.017291585,0.185097685
168,4.078027266,1.728267924,2.076287342,0.067830895,0.017516229,0.182632487
169,4.089830557,1.738366796,2.075955066,0.071125703,0.016715229,0.182545636
170,4.095072340,1.723721627,2.079064384,0.068202732,0.017204402,0.200827862
171,4.067348825,1.716921444,2.078107558,0.067758834,0.016855673,0.182291863
172,4.067689220,1.715034182,2.076337731,0.071626144,0.016872939,0.182586024
173,4.076753584,1.725864446,2.078433348,0.067847348,0.016665426,0.182516804
174,4.072896754,1.722934087,2.075475501,0.069338234,0.016917776,0.182624683
175,4.080209799,1.728874931,2.079022564,0.067724193,0.016661016,0.182643767
176,4.074209271,1.723357621,2.078961266,0.067644216,0.016904488,0.182015201
177,4.103471058,1.735953379,2.075440297,0.067736536,0.017270124,0.200886412
178,4.064812446,1.715474230,2.076616539,0.068148351,0.016833883,0.182434204
179,4.062620217,1.713843218,2.076304561,0.067685589,0.016887345,0.182335806
180,4.079835838,1.726391631,2.078149819,0.071189686,0.017302473,0.182290520
181,4.080127583,1.729619516,2.075800965,0.069981446,0.016817693,0.182515274
182,4.082111163,1.731286305,2.078453813,0.067743997,0.016754835,0.182398196
183,4.075912911,1.723424710,2.079423511,0.067781716,0.016934931,0.182191047
184,4.075860430,1.723669608,2.076269364,0.071188907,0.016772370,0.182916380
185,4.081387949,1.729434945,2.079427602,0.067697355,0.017202068,0.182365364
186,4.100397091,1.748955109,2.079258450,0.067620895,0.017014277,0.182185814
187,4.069817298,1.718118214,2.079262883,0.067803386,0.016955298,0.182483237
188,4.084357424,1.732497873,2.079264853,0.067744041,0.016980769,0.182306542
189,4.080686667,1.731753784,2.076074241,0.067523250,0.017223563,0.182593490
190,4.086018666,1.734264582,2.079349832,0.067766654,0.016821022,0.182517266
191,4.073445753,1.723649619,2.076100823,0.068726113,0.016914185,0.182662374
192,4.080765807,1.731321946,2.076369987,0.068048245,0.016909876,0.182428802
193,4.084896005,1.732632333,2.079233513,0.067737274,0.016744827,0.182771847
194,4.070483408,1.717875979,2.075956195,0.071366375,0.017022518,0.182114064
195,4.083731163,1.730785527,2.080767498,0.067653339,0.016935291,0.182043496
196,4.148011201,1.795016226,2.077924464,0.070154860,0.016961153,0.182141117
197,4.077931310,1.728904581,2.076549285,0.067643183,0.016738832,0.182667095
198,4.114427078,1.743564163,2.078899223,0.067693608,0.017329040,0.201043485
199,4.083361864,1.734230860,2.076109610,0.068337339,0.016743132,0.182496503
200,4.085476561,1.736110772,2.076683552,0.067836861,0.016935271,0.182472757
201,4.075586060,1.724636633,2.078405692,0.067853869,0.016901798,0.182236966
202,4.078124177,1.727636273,2.078055127,0.068288512,0.016564596,0.182195289
203,4.077565042,1.724754549,2.076183899,0.071940995,0.016773054,0.182830958
204,4.096523722,1.725771111,2.078494029,0.067703447,0.017349897,0.200885091
205,4.091421441,1.732569623,2.084553782,0.067616484,0.017397766,0.183632030
206,4.087601912,1.739342525,2.075599873,0.067790737,0.016879608,0.182283942
207,4.081094659,1.729101050,2.078526847,0.067415987,0.017309250,0.183797919
208,4.090878031,1.737739767,2.076595106,0.071782991,0.016813746,0.182423498
209,4.081370271,1.718871718,2.078573826,0.067761630,0.017320169,0.193188484
